Cliente	Marca	Cupo	Total_Promociones	Prom_Duracion_dd	Total_Duracion_dd	Maxima_Duracion_dd	Minima_Duracion_dd	MinFecha_Desde	MaxFecha_Desde	Total_Promo_Ejecutadas	Prom_Duracion_Ejecutadas_dd	Total_Duracion_Ejecutadas_dd	Maxima_Duracion_Ejecutadas_dd	Minima_Duracion_Ejecutadas_dd	MinFecha_Ejecutadas_Desde	MaxFecha_Ejecutadas_Desde	FechaAltaCliente	Region	Gerencia	SubCanal	TipoPoblacion	Estrato	EF	Antiguedad_Cliente_EmpezoPromo_dd
1947	40	16	20	6.75	135	19	0	5/09/2018	10/09/2019	2	5	10	6	0	17/09/2018	24/01/2019	9/11/2009	1	16	15	2	2	0	3222
5331	29	9	1	3	3	3	3	22/11/2018	22/11/2018	0	0	0	0	0	NULL	NULL	19/07/2011	3	10	18	2	3	0	2683
225	40	16	15	16.1333	242	160	0	5/09/2018	26/08/2019	1	160	160	160	0	6/05/2019	6/05/2019	14/06/2009	4	26	12	1	2	1	3370
2675	29	9	2	9	18	11	7	13/04/2019	18/08/2019	0	0	0	0	0	NULL	NULL	25/02/2010	1	23	9	2	3	0	3334
6090	40	16	13	5.923	77	22	0	5/09/2018	24/01/2019	0	0	0	0	0	NULL	NULL	6/06/2013	4	13	27	2	1	0	1917
10468	40	16	2	93	186	160	26	3/04/2019	6/05/2019	0	0	0	0	0	NULL	NULL	23/01/2017	4	13	9	1	1	1	800
11625	39	20	22	5.8636	129	16	0	5/09/2018	22/09/2019	1	6	6	6	0	17/09/2018	17/09/2018	3/09/2017	1	5	9	2	1	0	367
14064	40	16	4	4	16	5	3	8/01/2019	24/01/2019	0	0	0	0	0	NULL	NULL	14/08/2018	1	20	1	2	2	0	147
4254	40	16	5	6	30	16	2	23/11/2018	27/08/2019	0	0	0	0	0	NULL	NULL	4/05/2010	1	20	18	1	2	0	3125
3651	39	20	24	6.375	153	22	0	5/09/2018	22/09/2019	0	0	0	0	0	NULL	NULL	1/04/2010	3	8	12	2	3	1	3079
9318	39	20	7	5.7142	40	11	0	5/09/2018	7/10/2018	0	0	0	0	0	NULL	NULL	16/05/2016	3	25	18	1	2	0	842
8397	40	16	20	6.45	129	19	0	5/09/2018	22/09/2019	6	8	50	19	0	5/10/2018	11/07/2019	18/08/2015	3	8	22	2	3	1	1114
11757	40	16	16	5.4375	87	11	0	5/09/2018	7/03/2019	1	1	1	1	0	5/09/2018	5/09/2018	26/09/2017	3	10	10	2	2	0	344
