Cosecha	Cliente	Marca	Cupo	Total_Promociones	Prom_Duracion_dd	Total_Duracion_dd	Maxima_Duracion_dd	Minima_Duracion_dd	MinFecha_Desde	MaxFecha_Desde	Total_Promo_Ejecutadas	Prom_Duracion_Ejecutadas_dd	Total_Duracion_Ejecutadas_dd	Maxima_Duracion_Ejecutadas_dd	Minima_Duracion_Ejecutadas_dd	MinFecha_Ejecutadas_Desde	MaxFecha_Ejecutadas_Desde	Total_Promociones_Prev	Prom_Duracion_dd_Prev	Total_Duracion_dd_Prev	Maxima_Duracion_dd_Prev	Minima_Duracion_dd_Prev	MinFecha_Desde_Prev	MaxFecha_Desde_Prev	Total_Promo_Ejecutadas_Prev	Prom_Duracion_Ejecutadas_dd_Prev	Total_Duracion_Ejecutadas_dd_Prev	Maxima_Duracion_Ejecutadas_dd_Prev	Minima_Duracion_Ejecutadas_dd_Prev	MinFecha_Ejecutadas_Desde_Prev	MaxFecha_Ejecutadas_Desde_Prev	FechaAltaCliente	Region	Gerencia	SubCanal	TipoPoblacion	Estrato	EF	Antiguedad_Cliente_dd	NroVecesCompra	Total_Net_Revenue	Total_Net_Volumen	Total_Dcto	Max_Net_Revenue	Max_Net_Volumen	Max_Dcto	Min_Net_Revenue	Min_Net_Volumen	Min_Dcto	Total_Net_Revenue_Clase_Envase_1	Total_Net_Volumen_Clase_Envase_1	Total_Net_Dscto_Clase_Envase_1	Total_Net_Revenue_Clase_Envase_2	Total_Net_Volumen_Clase_Envase_2	Total_Net_Dscto_Clase_Envase_2	Total_Net_Revenue_Clase_Envase_3	Total_Net_Volumen_Clase_Envase_3	Total_Net_Dscto_Clase_Envase_3	Total_Net_Revenue_Clase_SegmentoPrecio_1	Total_Net_Volumen_Clase_SegmentoPrecio_1	Total_Net_Dscto_Clase_SegmentoPrecio_1	Total_Net_Revenue_Clase_SegmentoPrecio_2	Total_Net_Volumen_Clase_SegmentoPrecio_2	Total_Net_Dscto_Clase_SegmentoPrecio_2	Total_Net_Revenue_Clase_SegmentoPrecio_3	Total_Net_Volumen_Clase_SegmentoPrecio_3	Total_Net_Dscto_Clase_SegmentoPrecio_3	Total_Net_Revenue_Clase_SegmentoPrecio_4	Total_Net_Volumen_Clase_SegmentoPrecio_4	Total_Net_Dscto_Clase_SegmentoPrecio_4	UltimoAñoMesVenta	Ultimo_Total_Net_Revenue	Ultimo_Total_Net_Volumen	Ultimo_Total_Dcto	Ultimo_Total_Net_Revenue_Clase_Envase_1	Ultimo_Total_Net_Volumen_Clase_Envase_1	Ultimo_Total_Net_Dscto_Clase_Envase_1	Ultimo_Total_Net_Revenue_Clase_Envase_2	Ultimo_Total_Net_Volumen_Clase_Envase_2	Ultimo_Total_Net_Dscto_Clase_Envase_2	Ultimo_Total_Net_Revenue_Clase_Envase_3	Ultimo_Total_Net_Volumen_Clase_Envase_3	Ultimo_Total_Net_Dscto_Clase_Envase_3	Ultimo_Total_Net_Revenue_Clase_SegmentoPrecio_1	Ultimo_Total_Net_Volumen_Clase_SegmentoPrecio_1	Ultimo_Total_Net_Dscto_Clase_SegmentoPrecio_1	Ultimo_Total_Net_Revenue_Clase_SegmentoPrecio_2	Ultimo_Total_Net_Volumen_Clase_SegmentoPrecio_2	Ultimo_Total_Net_Dscto_Clase_SegmentoPrecio_2	Ultimo_Total_Net_Revenue_Clase_SegmentoPrecio_3	Ultimo_Total_Net_Volumen_Clase_SegmentoPrecio_3	Ultimo_Total_Net_Dscto_Clase_SegmentoPrecio_3	Ultimo_Total_Net_Revenue_Clase_SegmentoPrecio_4	Ultimo_Total_Net_Volumen_Clase_SegmentoPrecio_4	Ultimo_Total_Net_Dscto_Clase_SegmentoPrecio_4
201808	1001	40	16	2	3	6	4	2	12/08/2018	29/08/2018	1	4	4	4	0	12/08/2018	12/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/09/2009	5	29	12	1	2	1	3271	7	1798994.22	5.88	-123131.06	486338.56	1.54	-6324.95	89939.84	0.3	-33204.03	0	0	0	1798994.22	5.88	-123131.06	0	0	0	1798994.22	5.88	-123131.06	0	0	0	0	0	0	0	0	0	201807	351920	1	-33204	0	0	0	351920	1	-33204	0	0	0	351920	1	-33204	0	0	0	0	0	0	0	0	0
201808	10012	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	12/10/2016	5	27	9	2	4	1	686	4	1291189.41	4.36	-103982.87	466570.69	1.62	0	106525.48	0.36	-52926.24	0	0	0	1291189.41	4.36	-103982.87	0	0	0	1291189.41	4.36	-103982.87	0	0	0	0	0	0	0	0	0	201807	431606	1	-43565	0	0	0	431606	1	-43565	0	0	0	431606	1	-43565	0	0	0	0	0	0	0	0	0
201808	10001	40	16	1	8	8	8	8	12/08/2018	12/08/2018	1	8	8	8	8	12/08/2018	12/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	10/10/2016	3	32	9	1	2	1	671	7	712113.46	3	-254768.71	250437.12	0.89	0	7478.32	0.06	-61012.25	0	0	0	712113.46	3	-254768.71	0	0	0	712113.46	3	-254768.71	0	0	0	0	0	0	0	0	0	201807	18676	0	0	0	0	0	18676	0	0	0	0	0	18676	0	0	0	0	0	0	0	0	0	0	0
201808	1002	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/09/2009	5	29	15	1	2	0	3271	6	1055709.63	3.49	-60425.36	362883.89	1.13	0	102672.35	0.39	-30252.52	0	0	0	1055709.63	3.49	-60425.36	0	0	0	1055709.63	3.49	-60425.36	0	0	0	0	0	0	0	0	0	201807	102943	0	-30253	0	0	0	102943	0	-30253	0	0	0	102943	0	-30253	0	0	0	0	0	0	0	0	0
201808	10048	40	16	1	9	9	9	9	13/08/2018	13/08/2018	1	9	9	9	9	13/08/2018	13/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	19/10/2016	3	24	15	1	2	1	663	7	3384417.39	11.17	-166191.11	561110.54	1.87	0	405738.09	1.31	-72607.58	0	0	0	3384417.39	11.17	-166191.11	0	0	0	3384417.39	11.17	-166191.11	0	0	0	0	0	0	0	0	0	201807	405738	1	-12198	0	0	0	405738	1	-12198	0	0	0	405738	1	-12198	0	0	0	0	0	0	0	0	0
201808	10086	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	27/10/2016	5	29	6	2	3	0	671	7	502972.99	1.62	-13224.08	136118.7	0.45	0	18992.56	0.06	-7124.94	0	0	0	502972.99	1.62	-13224.08	0	0	0	502972.99	1.62	-13224.08	0	0	0	0	0	0	0	0	0	201807	18993	0	0	0	0	0	18993	0	0	0	0	0	18993	0	0	0	0	0	0	0	0	0	0	0
201808	1009	40	16	1	2	2	2	2	29/08/2018	29/08/2018	0	NULL	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/09/2009	5	29	15	2	2	1	3271	6	429915.97	1.35	0	144513.05	0.45	0	47481.41	0.15	0	0	0	0	429915.97	1.35	0	0	0	0	429915.97	1.35	0	0	0	0	0	0	0	0	0	0	201807	47481	0	0	0	0	0	47481	0	0	0	0	0	47481	0	0	0	0	0	0	0	0	0	0	0
201808	10031	40	16	2	6	12	10	2	13/08/2018	29/08/2018	1	10	10	10	0	13/08/2018	13/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/10/2016	5	27	9	2	2	1	684	6	556189.41	1.91	-43205.89	112118.79	0.39	0	63686	0.22	-17354.52	0	0	0	556189.41	1.91	-43205.89	0	0	0	556189.41	1.91	-43205.89	0	0	0	0	0	0	0	0	0	201807	112119	0	-11427	0	0	0	112119	0	-11427	0	0	0	112119	0	-11427	0	0	0	0	0	0	0	0	0
201808	1011	40	16	2	3	6	4	2	12/08/2018	29/08/2018	1	4	4	4	0	12/08/2018	12/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	14/09/2009	5	29	15	1	1	1	3271	7	2843911.75	9.5	-206989.02	628188.46	2.04	0	218538.2	0.68	-73948.05	0	0	0	2843911.75	9.5	-206989.02	0	0	0	2843911.75	9.5	-206989.02	0	0	0	0	0	0	0	0	0	201807	572405	2	-73948	0	0	0	572405	2	-73948	0	0	0	572405	2	-73948	0	0	0	0	0	0	0	0	0
201808	10111	40	16	1	5	5	5	5	12/08/2018	12/08/2018	1	5	5	5	5	12/08/2018	12/08/2018	0	0	0	0	0	NULL	NULL	0	0	0	0	0	NULL	NULL	4/11/2016	1	20	9	1	3	0	646	6	7790246.11	26.53	-744172.28	2347575.55	8.02	-65701.08	49718.84	0.48	-218209.56	0	0	0	7790246.11	26.53	-744172.28	0	0	0	7790246.11	26.53	-744172.28	0	0	0	0	0	0	0	0	0	201807	2347576	8	-218210	0	0	0	2347576	8	-218210	0	0	0	2347576	8	-218210	0	0	0	0	0	0	0	0	0
